Feature,value_rfe
app_det_TKEO_mean_8_coef,540
tqwt_TKEO_mean_dec_5,541
app_TKEO_std_8_coef,542
tqwt_maxValue_dec_7,543
det_LT_TKEO_std_7_coef,544
tqwt_entropy_log_dec_22,545
app_LT_entropy_shannon_8_coef,546
tqwt_TKEO_mean_dec_33,547
app_LT_entropy_shannon_9_coef,548
app_LT_entropy_log_3_coef,549
app_LT_entropy_log_7_coef,550
app_LT_entropy_log_9_coef,551
tqwt_TKEO_mean_dec_35,552
tqwt_skewnessValue_dec_2,553
Ed2_4_coef,554
tqwt_stdValue_dec_21,555
tqwt_stdValue_dec_23,556
app_LT_TKEO_mean_6_coef,557
det_LT_entropy_shannon_1_coef,558
Ed2_8_coef,559
app_LT_TKEO_mean_7_coef,560
app_LT_TKEO_mean_8_coef,561
tqwt_maxValue_dec_35,562
GQ_std_cycle_closed,563
tqwt_stdValue_dec_24,564
app_entropy_log_10_coef,565
app_det_TKEO_mean_1_coef,566
app_det_TKEO_mean_2_coef,567
tqwt_maxValue_dec_34,568
tqwt_TKEO_std_dec_28,569
app_det_TKEO_mean_7_coef,570
tqwt_maxValue_dec_32,571
tqwt_maxValue_dec_29,572
tqwt_stdValue_dec_29,573
tqwt_TKEO_mean_dec_26,574
tqwt_skewnessValue_dec_34,575
tqwt_TKEO_mean_dec_14,576
app_LT_entropy_shannon_10_coef,577
app_det_TKEO_mean_3_coef,578
tqwt_minValue_dec_4,579
Ed2_10_coef,580
Ed2_7_coef,581
app_TKEO_std_7_coef,582
tqwt_stdValue_dec_22,583
app_det_TKEO_mean_9_coef,584
app_TKEO_std_5_coef,585
app_LT_entropy_log_8_coef,586
det_LT_TKEO_std_10_coef,587
tqwt_TKEO_std_dec_30,588
app_LT_entropy_log_6_coef,589
tqwt_energy_dec_29,590
tqwt_entropy_log_dec_21,591
Ed2_9_coef,592
app_det_TKEO_mean_10_coef,593
tqwt_minValue_dec_33,594
tqwt_stdValue_dec_17,595
app_TKEO_std_3_coef,596
tqwt_energy_dec_5,597
app_LT_entropy_shannon_6_coef,598
app_LT_entropy_shannon_7_coef,599
tqwt_minValue_dec_6,600
